parameter,value,mean,std,count,max
lr,0.0001,83.7125611111111,0.4517416123274212,54,84.8581
lr,0.0005,83.6636425925926,0.5340618862457078,54,84.7616
lr,0.001,83.59456666666667,0.6641182643600541,54,85.0532
dropout_ratio,0.5,83.81557407407408,0.4936395848111469,54,85.0297
dropout_ratio,0.4,83.78261666666667,0.5064298862794111,54,85.0532
dropout_ratio,0.3,83.37257962962964,0.5596761231147597,54,84.8115
batch_size,16.0,83.93019074074074,0.5598753976163278,54,85.0297
batch_size,32.0,83.5888037037037,0.5128839649428101,54,85.0532
batch_size,64.0,83.45177592592592,0.4871401417573717,54,84.4366
num_experts,7.0,83.7208537037037,0.5791248240046978,54,85.0532
num_experts,5.0,83.6635962962963,0.5966854561416179,54,84.8115
num_experts,3.0,83.58632037037036,0.48662083623337077,54,84.7381
alpha,0.1,83.65692345679012,0.5555361633261413,162,85.0532
beta,0.01,83.65692345679012,0.5555361633261413,162,85.0532
num_layer,5.0,83.65692345679012,0.5555361633261413,162,85.0532
decay,0.0,83.6687987654321,0.5235712354813371,81,85.0297
decay,1e-05,83.64504814814815,0.5888006477389232,81,85.0532
